Area,Year,InMonth,InDay,OutMonth,OutDay,preliminary
九州北部,1970,6,10,7,21,0
九州北部,1971,6,2,7,27,0
九州北部,1972,6,3,7,15,0
九州北部,1973,6,5,7,6,0
九州北部,1974,6,10,7,19,0
九州北部,1975,6,4,7,18,0
九州北部,1976,6,4,7,22,0
九州北部,1977,6,7,7,20,0
九州北部,1978,6,10,7,3,0
九州北部,1979,6,6,7,25,0
九州北部,1980,6,8,7,19,0
九州北部,1981,6,10,7,14,0
九州北部,1982,6,13,7,27,0
九州北部,1983,6,12,7,23,0
九州北部,1984,6,7,7,14,0
九州北部,1985,6,7,7,15,0
九州北部,1986,6,13,7,26,0
九州北部,1987,6,8,7,26,0
九州北部,1988,6,7,7,6,0
九州北部,1989,6,5,7,19,0
九州北部,1990,5,30,7,18,0
九州北部,1991,5,19,7,19,0
九州北部,1992,6,5,7,20,0
九州北部,1993,5,29,,,0
九州北部,1994,6,7,7,1,0
九州北部,1995,6,8,7,8,0
九州北部,1996,6,7,7,13,0
九州北部,1997,6,8,7,19,0
九州北部,1998,6,1,8,3,0
九州北部,1999,6,2,7,22,0
九州北部,2000,5,26,7,17,0
九州北部,2001,5,21,7,19,0
九州北部,2002,6,10,7,21,0
九州北部,2003,6,9,7,31,0
九州北部,2004,5,29,7,11,0
九州北部,2005,6,10,7,17,0
九州北部,2006,6,8,7,26,0
九州北部,2007,6,13,7,23,0
九州北部,2008,5,28,7,6,0
九州北部,2009,6,3,8,4,0
九州北部,2010,6,12,7,17,0
九州北部,2011,5,21,7,8,0
九州北部,2012,5,30,7,23,0
九州北部,2013,5,27,7,8,0
九州北部,2014,6,2,7,20,0
九州北部,2015,6,2,7,29,0
九州北部,2016,6,4,7,18,0
九州北部,2017,6,20,7,13,0
九州北部,2018,6,5,7,9,0
九州北部,2019,6,26,7,25,0
九州北部,2020,6,11,7,30,0
九州北部,2021,5,11,7,13,0
九州北部,2022,6,11,6,28,1
四国,1951,5,26,7,22,0
四国,1952,6,8,7,21,0
四国,1953,5,28,7,23,0
四国,1954,6,5,8,2,0
四国,1955,5,28,7,10,0
四国,1956,5,22,7,10,0
四国,1957,6,5,7,29,0
四国,1958,6,6,7,10,0
四国,1959,6,5,7,20,0
四国,1960,6,10,7,9,0
四国,1961,6,8,7,7,0
四国,1962,6,2,7,19,0
四国,1963,,,7,13,0
四国,1964,6,11,7,1,0
四国,1965,6,11,7,24,0
四国,1966,5,31,7,13,0
四国,1967,6,21,7,13,0
四国,1968,6,12,7,17,0
四国,1969,6,17,7,14,0
四国,1970,6,10,7,14,0
四国,1971,6,3,7,27,0
四国,1972,6,3,7,18,0
四国,1973,6,5,7,3,0
四国,1974,6,10,7,19,0
四国,1975,6,4,7,15,0
四国,1976,5,19,7,22,0
四国,1977,6,7,7,12,0
四国,1978,6,11,7,3,0
四国,1979,6,6,7,22,0
四国,1980,5,30,7,19,0
四国,1981,6,10,7,16,0
四国,1982,5,29,7,27,0
四国,1983,6,12,7,24,0
四国,1984,6,8,7,14,0
四国,1985,6,7,7,7,0
四国,1986,6,6,7,18,0
四国,1987,6,8,7,25,0
四国,1988,6,1,7,31,0
四国,1989,6,8,7,18,0
四国,1990,5,31,7,17,0
四国,1991,5,19,7,19,0
四国,1992,6,7,7,21,0
四国,1993,5,29,,,0
四国,1994,6,7,7,2,0
四国,1995,6,8,7,8,0
四国,1996,6,7,7,11,0
四国,1997,6,2,7,18,0
四国,1998,6,2,7,3,0
四国,1999,6,2,7,22,0
四国,2000,6,3,7,18,0
四国,2001,5,21,7,19,0
四国,2002,6,11,7,20,0
四国,2003,6,10,7,31,0
四国,2004,5,29,7,13,0
四国,2005,6,11,7,16,0
四国,2006,6,8,7,26,0
四国,2007,6,13,7,23,0
四国,2008,5,28,7,6,0
四国,2009,6,3,7,30,0
四国,2010,6,13,7,17,0
四国,2011,5,21,7,8,0
四国,2012,6,2,7,17,0
四国,2013,5,27,7,8,0
四国,2014,6,2,7,20,0
四国,2015,6,2,7,24,0
四国,2016,6,4,7,18,0
四国,2017,6,20,7,13,0
四国,2018,6,5,7,9,0
四国,2019,6,26,7,25,0
四国,2020,6,10,7,29,0
四国,2021,5,12,7,19,0
四国,2022,6,14,6,28,1
中国,1951,6,14,7,21,0
中国,1952,5,31,7,21,0
中国,1953,5,28,7,24,0
中国,1954,5,30,8,2,0
中国,1955,6,6,7,10,0
中国,1956,5,29,7,12,0
中国,1957,6,16,7,31,0
中国,1958,6,5,7,11,0
中国,1959,6,10,7,20,0
中国,1960,6,10,7,11,0
中国,1961,6,8,7,13,0
中国,1962,6,2,7,22,0
中国,1963,5,8,7,13,0
中国,1964,6,13,7,20,0
中国,1965,6,11,7,26,0
中国,1966,6,15,7,14,0
中国,1967,6,21,7,16,0
中国,1968,6,24,7,18,0
中国,1969,6,16,7,14,0
中国,1970,6,10,7,19,0
中国,1971,6,3,7,27,0
中国,1972,6,3,7,17,0
中国,1973,6,5,7,4,0
中国,1974,6,10,7,20,0
中国,1975,6,5,7,15,0
中国,1976,6,5,7,17,0
中国,1977,6,7,7,20,0
中国,1978,6,11,7,3,0
中国,1979,6,6,7,25,0
中国,1980,6,7,7,20,0
中国,1981,6,11,7,16,0
中国,1982,6,13,7,30,0
中国,1983,6,12,7,25,0
中国,1984,6,7,7,14,0
中国,1985,6,7,7,15,0
中国,1986,6,15,7,26,0
中国,1987,6,8,7,26,0
中国,1988,6,8,7,31,0
中国,1989,6,8,7,18,0
中国,1990,5,31,7,18,0
中国,1991,5,25,7,21,0
中国,1992,6,7,7,21,0
中国,1993,5,30,,,0
中国,1994,6,8,7,9,0
中国,1995,6,8,7,25,0
中国,1996,6,7,7,15,0
中国,1997,6,8,7,18,0
中国,1998,6,2,8,3,0
中国,1999,6,2,7,22,0
中国,2000,6,8,7,18,0
中国,2001,6,5,7,19,0
中国,2002,6,11,7,21,0
中国,2003,6,10,7,31,0
中国,2004,5,29,7,13,0
中国,2005,6,11,7,18,0
中国,2006,6,8,7,26,0
中国,2007,6,14,7,23,0
中国,2008,5,28,7,6,0
中国,2009,6,3,,,0
中国,2010,6,13,7,17,0
中国,2011,5,21,7,8,0
中国,2012,6,8,7,17,0
